period,A_align,D_deviation,REV_loan_re
2016-01,0.8705781877551431,0.19512370433478785,0.5492475946864961
2016-02,0.8146732718037162,0.3915607178114858,0.9750392539199026
2016-03,0.24486351453183186,0.6192279541501301,0.44536359414587984
2016-04,0.35136352968667545,0.7489205443296864,0.6949703509545534
2016-05,0.4375733861751915,0.7750832881433506,1.432791899661299
2016-06,-0.05255769079232619,0.29342866529060213,0.6626278436737578
2016-07,-0.23591474029848952,0.43525463212346105,0.8977854342488076
2016-08,0.021556708925477956,0.41340875248109654,1.1041306343902764
2016-09,0.14690488694545578,0.25666087437599167,0.48025924150416116
2016-10,0.10697944494946608,0.11612792592632308,0.16427327976701955
2016-11,0.06427775460140094,0.2183309393592874,0.39999668980855657
2016-12,-0.1224862822273114,0.22593461999627015,0.6258018692459733
2017-01,0.009131286747665907,0.08667221669781502,0.037945942144734526
2017-02,0.021915093641621735,0.12418288437017,0.03926243897111008
2017-03,0.12426525642658309,0.09698757103977339,0.0
2017-04,0.14869620586291274,0.14334960353337392,0.2588601767259938
2017-05,0.031107829743022005,0.2248948422244642,0.0
2017-06,-0.13147400245990154,0.2965165176950438,0.021646624650806107
2017-07,-0.11610457927209424,0.23489219024404073,0.04088072061862894
2017-08,-0.06334800911767074,0.18617407717893644,0.15792258961897396
2017-09,0.03227525218558725,0.1605789998938775,0.16112843452024933
2017-10,-0.15557324745065146,0.3201726504772283,0.10182299846277969
2017-11,0.02505220820160945,0.2679252261228469,0.15409344260979246
2017-12,0.001846162438649017,0.3037722638113831,0.08180779191491687
2018-01,-0.2645702344111862,0.42913224901897723,0.0683172590288595
2018-02,0.0001718128139483554,0.19829515848074267,0.07701666567728194
2018-03,-0.0035867408425783727,0.14944628866121026,0.0
2018-04,-0.052379936264028364,0.2759356377866092,0.21318428749473095
2018-05,-0.08752507873628075,0.3546838582845874,0.20712279748810253
2018-06,-0.024539216244895457,0.335772082166519,0.28524678867422926
2018-07,0.024338306846696776,0.32815667674234783,0.27009760536703353
2018-08,-0.0586433127044056,0.15591771692385586,0.030343822616206117
2018-09,-0.08047208734600145,0.18577548374798836,0.07177730040545913
2018-10,-0.012478398033982025,0.13799565848556258,0.0283300117759119
2018-11,-0.09497821960602079,0.20068776606314628,0.3593022546601003
2018-12,-0.09469678636820598,0.2045311223536104,0.3932281546027826
2019-01,-0.05548988550378764,0.1413415925288792,0.0985279129942738
2019-02,-0.15433702410431874,0.28419466197898535,0.5577778281657608
2019-03,0.08039489847937532,0.17970954219570973,0.40865778732841135
2019-04,-0.2795493886388825,0.48225983989554033,0.9065787975969892
2019-05,-0.6064292062411192,0.7426842209977377,1.4338362292592
2019-06,-0.4785725494034862,0.6341256566744915,1.4904493313337523
